element_id,unit_id,seam_id,lithology,unit_type,layer_order,x,y,z,elevation,thickness,confidence,fault_influence,uncertainty,risk_value,ash,sulfur,calorific_value,gas_content,water_content,coal_quality_index,porosity,permeability,water_bearing_index,grain_size_index,strength_index,roof_stability_index,clay_content,softening_index,floor_heave_risk,carbonate_purity,karst_water_risk,fracture_index,weathering_index,loose_layer_water_risk
GU_0_CELL_0_34,GU_0,GU_0,overburden,overburden,0,72,-25.509,-200,-25.509,14.63,1,0,0.131,0.414,,,,,,,,,,,0.257,,,,,,,,0.696,0.394
GU_0_CELL_0_35,GU_0,GU_0,overburden,overburden,0,80,-25.718,-200,-25.718,14.583,1,0,0.121,0.423,,,,,,,,,,,0.259,,,,,,,,0.688,0.416
GU_0_CELL_0_36,GU_0,GU_0,overburden,overburden,0,88,-25.882,-200,-25.882,14.561,1,0,0.111,0.433,,,,,,,,,,,0.26,,,,,,,,0.682,0.439
GU_0_CELL_0_37,GU_0,GU_0,overburden,overburden,0,96,-25.99,-200,-25.99,14.563,1,0,0.102,0.444,,,,,,,,,,,0.261,,,,,,,,0.676,0.463
GU_0_CELL_0_38,GU_0,GU_0,overburden,overburden,0,104,-26.037,-200,-26.037,14.587,1,0,0.094,0.455,,,,,,,,,,,0.262,,,,,,,,0.674,0.487
GU_0_CELL_0_39,GU_0,GU_0,overburden,overburden,0,112,-26.016,-200,-26.016,14.628,1,0,0.087,0.468,,,,,,,,,,,0.262,,,,,,,,0.675,0.511
GU_0_CELL_0_40,GU_0,GU_0,overburden,overburden,0,120,-25.924,-200,-25.924,14.683,1,0,0.083,0.482,,,,,,,,,,,0.26,,,,,,,,0.68,0.534
GU_0_CELL_0_41,GU_0,GU_0,overburden,overburden,0,128,-25.761,-200,-25.761,14.747,1,0,0.08,0.496,,,,,,,,,,,0.258,,,,,,,,0.689,0.556
GU_0_CELL_0_42,GU_0,GU_0,overburden,overburden,0,136,-25.531,-200,-25.531,14.813,1,0,0.08,0.511,,,,,,,,,,,0.255,,,,,,,,0.703,0.577
GU_0_CELL_0_43,GU_0,GU_0,overburden,overburden,0,144,-25.237,-200,-25.237,14.878,1,0,0.083,0.526,,,,,,,,,,,0.251,,,,,,,,0.721,0.596
GU_0_CELL_0_44,GU_0,GU_0,overburden,overburden,0,152,-24.889,-200,-24.889,14.936,1,0,0.088,0.541,,,,,,,,,,,0.247,,,,,,,,0.742,0.612
GU_0_CELL_0_45,GU_0,GU_0,overburden,overburden,0,160,-24.497,-200,-24.497,14.984,1,0,0.095,0.556,,,,,,,,,,,0.241,,,,,,,,0.767,0.626
GU_0_CELL_0_46,GU_0,GU_0,overburden,overburden,0,168,-24.075,-200,-24.075,15.019,1,0,0.103,0.569,,,,,,,,,,,0.236,,,,,,,,0.793,0.636
GU_0_CELL_0_47,GU_0,GU_0,overburden,overburden,0,176,-23.638,-200,-23.638,15.041,1,0,0.112,0.581,,,,,,,,,,,0.23,,,,,,,,0.819,0.644
GU_0_CELL_0_48,GU_0,GU_0,overburden,overburden,0,184,-23.202,-200,-23.202,15.05,1,0,0.122,0.591,,,,,,,,,,,0.224,,,,,,,,0.844,0.649
GU_0_CELL_0_49,GU_0,GU_0,overburden,overburden,0,192,-22.784,-200,-22.784,15.048,1,0,0.132,0.598,,,,,,,,,,,0.219,,,,,,,,0.867,0.65
GU_0_CELL_0_50,GU_0,GU_0,overburden,overburden,0,200,-22.402,-200,-22.402,15.04,1,0,0.141,0.603,,,,,,,,,,,0.215,,,,,,,,0.886,0.648
GU_0_CELL_1_0,GU_0,GU_0,overburden,overburden,0,-200,-23.934,-192,-23.934,13.504,0.426,0.99,0.828,0.901,,,,,,,,,,,0.181,,,,,,,,1,0.814
GU_0_CELL_1_1,GU_0,GU_0,overburden,overburden,0,-192,-24.745,-192,-24.745,13.321,0.42,1,0.843,0.908,,,,,,,,,,,0.179,,,,,,,,1,0.824
GU_0_CELL_1_2,GU_0,GU_0,overburden,overburden,0,-184,-25.462,-192,-25.462,13.141,0.426,0.99,0.842,0.908,,,,,,,,,,,0.177,,,,,,,,1,0.827
GU_0_CELL_1_3,GU_0,GU_0,overburden,overburden,0,-176,-26.075,-192,-26.075,12.971,0.583,0.719,0.658,0.835,,,,,,,,,,,0.175,,,,,,,,1,0.779
GU_0_CELL_1_4,GU_0,GU_0,overburden,overburden,0,-168,-26.579,-192,-26.579,12.818,0.828,0.296,0.366,0.712,,,,,,,,,,,0.178,,,,,,,,0.982,0.701
GU_0_CELL_1_5,GU_0,GU_0,overburden,overburden,0,-160,-26.97,-192,-26.97,12.689,0.992,0.014,0.169,0.616,,,,,,,,,,,0.188,,,,,,,,0.926,0.645
GU_0_CELL_1_6,GU_0,GU_0,overburden,overburden,0,-152,-27.249,-192,-27.249,12.593,1,0,0.156,0.603,,,,,,,,,,,0.191,,,,,,,,0.911,0.634
GU_0_CELL_1_7,GU_0,GU_0,overburden,overburden,0,-144,-27.418,-192,-27.418,12.536,1,0,0.151,0.591,,,,,,,,,,,0.194,,,,,,,,0.891,0.623
GU_0_CELL_1_8,GU_0,GU_0,overburden,overburden,0,-136,-27.484,-192,-27.484,12.521,1,0,0.143,0.576,,,,,,,,,,,0.2,,,,,,,,0.865,0.608
GU_0_CELL_1_9,GU_0,GU_0,overburden,overburden,0,-128,-27.454,-192,-27.454,12.554,1,0,0.135,0.558,,,,,,,,,,,0.207,,,,,,,,0.834,0.592
GU_0_CELL_1_10,GU_0,GU_0,overburden,overburden,0,-120,-27.339,-192,-27.339,12.635,1,0,0.125,0.537,,,,,,,,,,,0.216,,,,,,,,0.8,0.572
GU_0_CELL_1_11,GU_0,GU_0,overburden,overburden,0,-112,-27.151,-192,-27.151,12.762,1,0,0.115,0.516,,,,,,,,,,,0.225,,,,,,,,0.764,0.551
GU_0_CELL_1_12,GU_0,GU_0,overburden,overburden,0,-104,-26.902,-192,-26.902,12.934,1,0,0.105,0.493,,,,,,,,,,,0.235,,,,,,,,0.728,0.529
GU_0_CELL_1_13,GU_0,GU_0,overburden,overburden,0,-96,-26.606,-192,-26.606,13.143,1,0,0.097,0.471,,,,,,,,,,,0.245,,,,,,,,0.693,0.506
GU_0_CELL_1_14,GU_0,GU_0,overburden,overburden,0,-88,-26.277,-192,-26.277,13.384,1,0,0.089,0.449,,,,,,,,,,,0.255,,,,,,,,0.661,0.482
GU_0_CELL_1_15,GU_0,GU_0,overburden,overburden,0,-80,-25.929,-192,-25.929,13.646,1,0,0.084,0.427,,,,,,,,,,,0.264,,,,,,,,0.633,0.457
GU_0_CELL_1_16,GU_0,GU_0,overburden,overburden,0,-72,-25.576,-192,-25.576,13.92,1,0,0.081,0.409,,,,,,,,,,,0.272,,,,,,,,0.61,0.434
GU_0_CELL_1_17,GU_0,GU_0,overburden,overburden,0,-64,-25.229,-192,-25.229,14.196,1,0,0.08,0.392,,,,,,,,,,,0.279,,,,,,,,0.593,0.411
GU_0_CELL_1_18,GU_0,GU_0,overburden,overburden,0,-56,-24.901,-192,-24.901,14.463,1,0,0.082,0.377,,,,,,,,,,,0.282,,,,,,,,0.582,0.389
GU_0_CELL_1_19,GU_0,GU_0,overburden,overburden,0,-48,-24.601,-192,-24.601,14.711,1,0,0.086,0.365,,,,,,,,,,,0.283,,,,,,,,0.578,0.369
GU_0_CELL_1_20,GU_0,GU_0,overburden,overburden,0,-40,-24.338,-192,-24.338,14.931,1,0,0.092,0.356,,,,,,,,,,,0.283,,,,,,,,0.58,0.35
GU_0_CELL_1_21,GU_0,GU_0,overburden,overburden,0,-32,-24.118,-192,-24.118,15.116,1,0,0.1,0.35,,,,,,,,,,,0.281,,,,,,,,0.587,0.335
GU_0_CELL_1_22,GU_0,GU_0,overburden,overburden,0,-24,-23.947,-192,-23.947,15.261,1,0,0.109,0.347,,,,,,,,,,,0.278,,,,,,,,0.599,0.322
GU_0_CELL_1_23,GU_0,GU_0,overburden,overburden,0,-16,-23.827,-192,-23.827,15.362,1,0,0.118,0.346,,,,,,,,,,,0.275,,,,,,,,0.614,0.311
GU_0_CELL_1_24,GU_0,GU_0,overburden,overburden,0,-8,-23.76,-192,-23.76,15.419,1,0,0.128,0.347,,,,,,,,,,,0.271,,,,,,,,0.631,0.304
GU_0_CELL_1_25,GU_0,GU_0,overburden,overburden,0,0,-23.745,-192,-23.745,15.432,1,0,0.138,0.352,,,,,,,,,,,0.267,,,,,,,,0.65,0.301
GU_0_CELL_1_26,GU_0,GU_0,overburden,overburden,0,8,-23.778,-192,-23.778,15.407,1,0,0.146,0.356,,,,,,,,,,,0.263,,,,,,,,0.668,0.3
GU_0_CELL_1_27,GU_0,GU_0,overburden,overburden,0,16,-23.855,-192,-23.855,15.347,1,0,0.153,0.363,,,,,,,,,,,0.259,,,,,,,,0.685,0.303
GU_0_CELL_1_28,GU_0,GU_0,overburden,overburden,0,24,-23.97,-192,-23.97,15.261,1,0,0.157,0.371,,,,,,,,,,,0.256,,,,,,,,0.7,0.309
GU_0_CELL_1_29,GU_0,GU_0,overburden,overburden,0,32,-24.116,-192,-24.116,15.156,1,0,0.16,0.379,,,,,,,,,,,0.253,,,,,,,,0.712,0.319
GU_0_CELL_1_30,GU_0,GU_0,overburden,overburden,0,40,-24.283,-192,-24.283,15.041,1,0,0.16,0.388,,,,,,,,,,,0.252,,,,,,,,0.72,0.331
GU_0_CELL_1_31,GU_0,GU_0,overburden,overburden,0,48,-24.462,-192,-24.462,14.924,1,0,0.157,0.397,,,,,,,,,,,0.251,,,,,,,,0.724,0.346
GU_0_CELL_1_32,GU_0,GU_0,overburden,overburden,0,56,-24.642,-192,-24.642,14.814,1,0,0.153,0.406,,,,,,,,,,,0.251,,,,,,,,0.725,0.363
GU_0_CELL_1_33,GU_0,GU_0,overburden,overburden,0,64,-24.811,-192,-24.811,14.717,1,0,0.146,0.416,,,,,,,,,,,0.251,,,,,,,,0.723,0.383
GU_0_CELL_1_34,GU_0,GU_0,overburden,overburden,0,72,-24.96,-192,-24.96,14.639,1,0,0.138,0.426,,,,,,,,,,,0.252,,,,,,,,0.718,0.404
GU_0_CELL_1_35,GU_0,GU_0,overburden,overburden,0,80,-25.077,-192,-25.077,14.583,1,0,0.128,0.436,,,,,,,,,,,0.253,,,,,,,,0.712,0.427
GU_0_CELL_1_36,GU_0,GU_0,overburden,overburden,0,88,-25.153,-192,-25.153,14.552,1,0,0.118,0.446,,,,,,,,,,,0.255,,,,,,,,0.705,0.451
GU_0_CELL_1_37,GU_0,GU_0,overburden,overburden,0,96,-25.179,-192,-25.179,14.546,1,0,0.109,0.457,,,,,,,,,,,0.256,,,,,,,,0.699,0.475
GU_0_CELL_1_38,GU_0,GU_0,overburden,overburden,0,104,-25.149,-192,-25.149,14.562,1,0,0.1,0.468,,,,,,,,,,,0.257,,,,,,,,0.695,0.499
GU_0_CELL_1_39,GU_0,GU_0,overburden,overburden,0,112,-25.058,-192,-25.058,14.599,1,0,0.092,0.48,,,,,,,,,,,0.258,,,,,,,,0.693,0.523
GU_0_CELL_1_40,GU_0,GU_0,overburden,overburden,0,120,-24.903,-192,-24.903,14.651,1,0,0.086,0.492,,,,,,,,,,,0.257,,,,,,,,0.694,0.546
GU_0_CELL_1_41,GU_0,GU_0,overburden,overburden,0,128,-24.683,-192,-24.683,14.713,1,0,0.082,0.505,,,,,,,,,,,0.256,,,,,,,,0.699,0.567
GU_0_CELL_1_42,GU_0,GU_0,overburden,overburden,0,136,-24.403,-192,-24.403,14.779,1,0,0.08,0.518,,,,,,,,,,,0.254,,,,,,,,0.708,0.587
GU_0_CELL_1_43,GU_0,GU_0,overburden,overburden,0,144,-24.067,-192,-24.067,14.844,1,0,0.081,0.531,,,,,,,,,,,0.251,,,,,,,,0.722,0.604
GU_0_CELL_1_44,GU_0,GU_0,overburden,overburden,0,152,-23.682,-192,-23.682,14.902,1,0,0.084,0.544,,,,,,,,,,,0.247,,,,,,,,0.739,0.619
GU_0_CELL_1_45,GU_0,GU_0,overburden,overburden,0,160,-23.261,-192,-23.261,14.948,1,0,0.089,0.556,,,,,,,,,,,0.243,,,,,,,,0.759,0.631
GU_0_CELL_1_46,GU_0,GU_0,overburden,overburden,0,168,-22.816,-192,-22.816,14.982,1,0,0.097,0.568,,,,,,,,,,,0.238,,,,,,,,0.782,0.641
GU_0_CELL_1_47,GU_0,GU_0,overburden,overburden,0,176,-22.361,-192,-22.361,14.999,1,0,0.105,0.578,,,,,,,,,,,0.233,,,,,,,,0.805,0.647
GU_0_CELL_1_48,GU_0,GU_0,overburden,overburden,0,184,-21.912,-192,-21.912,15.002,1,0,0.115,0.587,,,,,,,,,,,0.228,,,,,,,,0.829,0.65
GU_0_CELL_1_49,GU_0,GU_0,overburden,overburden,0,192,-21.487,-192,-21.487,14.992,1,0,0.125,0.593,,,,,,,,,,,0.223,,,,,,,,0.851,0.649
GU_0_CELL_1_50,GU_0,GU_0,overburden,overburden,0,200,-21.103,-192,-21.103,14.972,1,0,0.135,0.597,,,,,,,,,,,0.219,,,,,,,,0.87,0.646
GU_0_CELL_2_0,GU_0,GU_0,overburden,overburden,0,-200,-24.588,-184,-24.588,13.694,0.583,0.719,0.633,0.828,,,,,,,,,,,0.185,,,,,,,,0.993,0.77
GU_0_CELL_2_1,GU_0,GU_0,overburden,overburden,0,-192,-25.409,-184,-25.409,13.494,0.426,0.99,0.83,0.907,,,,,,,,,,,0.181,,,,,,,,1,0.825
GU_0_CELL_2_2,GU_0,GU_0,overburden,overburden,0,-184,-26.135,-184,-26.135,13.292,0.42,1,0.845,0.912,,,,,,,,,,,0.179,,,,,,,,1,0.83
GU_0_CELL_2_3,GU_0,GU_0,overburden,overburden,0,-176,-26.756,-184,-26.756,13.095,0.426,0.99,0.843,0.909,,,,,,,,,,,0.177,,,,,,,,1,0.828
GU_0_CELL_2_4,GU_0,GU_0,overburden,overburden,0,-168,-27.268,-184,-27.268,12.911,0.583,0.719,0.659,0.832,,,,,,,,,,,0.175,,,,,,,,1,0.775
GU_0_CELL_2_5,GU_0,GU_0,overburden,overburden,0,-160,-27.668,-184,-27.668,12.747,0.828,0.296,0.366,0.706,,,,,,,,,,,0.178,,,,,,,,0.976,0.692
GU_0_CELL_2_6,GU_0,GU_0,overburden,overburden,0,-152,-27.955,-184,-27.955,12.612,0.992,0.014,0.169,0.605,,,,,,,,,,,0.19,,,,,,,,0.916,0.631
GU_0_CELL_2_7,GU_0,GU_0,overburden,overburden,0,-144,-28.134,-184,-28.134,12.513,1,0,0.155,0.589,,,,,,,,,,,0.193,,,,,,,,0.897,0.616
GU_0_CELL_2_8,GU_0,GU_0,overburden,overburden,0,-136,-28.211,-184,-28.211,12.457,1,0,0.149,0.574,,,,,,,,,,,0.197,,,,,,,,0.873,0.6
GU_0_CELL_2_9,GU_0,GU_0,overburden,overburden,0,-128,-28.192,-184,-28.192,12.448,1,0,0.142,0.556,,,,,,,,,,,0.204,,,,,,,,0.844,0.582
GU_0_CELL_2_10,GU_0,GU_0,overburden,overburden,0,-120,-28.088,-184,-28.088,12.488,1,0,0.133,0.536,,,,,,,,,,,0.211,,,,,,,,0.811,0.562
GU_0_CELL_2_11,GU_0,GU_0,overburden,overburden,0,-112,-27.911,-184,-27.911,12.579,1,0,0.123,0.513,,,,,,,,,,,0.22,,,,,,,,0.775,0.54
GU_0_CELL_2_12,GU_0,GU_0,overburden,overburden,0,-104,-27.672,-184,-27.672,12.717,1,0,0.113,0.49,,,,,,,,,,,0.23,,,,,,,,0.738,0.517
GU_0_CELL_2_13,GU_0,GU_0,overburden,overburden,0,-96,-27.385,-184,-27.385,12.898,1,0,0.104,0.467,,,,,,,,,,,0.24,,,,,,,,0.701,0.494
GU_0_CELL_2_14,GU_0,GU_0,overburden,overburden,0,-88,-27.063,-184,-27.063,13.117,1,0,0.095,0.444,,,,,,,,,,,0.251,,,,,,,,0.666,0.47
GU_0_CELL_2_15,GU_0,GU_0,overburden,overburden,0,-80,-26.718,-184,-26.718,13.365,1,0,0.088,0.422,,,,,,,,,,,0.26,,,,,,,,0.634,0.445
GU_0_CELL_2_16,GU_0,GU_0,overburden,overburden,0,-72,-26.363,-184,-26.363,13.632,1,0,0.083,0.402,,,,,,,,,,,0.269,,,,,,,,0.608,0.422
GU_0_CELL_2_17,GU_0,GU_0,overburden,overburden,0,-64,-26.009,-184,-26.009,13.909,1,0,0.081,0.383,,,,,,,,,,,0.277,,,,,,,,0.587,0.399
GU_0_CELL_2_18,GU_0,GU_0,overburden,overburden,0,-56,-25.667,-184,-25.667,14.183,1,0,0.08,0.368,,,,,,,,,,,0.283,,,,,,,,0.572,0.378
GU_0_CELL_2_19,GU_0,GU_0,overburden,overburden,0,-48,-25.344,-184,-25.344,14.446,1,0,0.082,0.356,,,,,,,,,,,0.286,,,,,,,,0.564,0.359
GU_0_CELL_2_20,GU_0,GU_0,overburden,overburden,0,-40,-25.05,-184,-25.05,14.687,1,0,0.087,0.347,,,,,,,,,,,0.286,,,,,,,,0.563,0.342
GU_0_CELL_2_21,GU_0,GU_0,overburden,overburden,0,-32,-24.789,-184,-24.789,14.897,1,0,0.093,0.341,,,,,,,,,,,0.285,,,,,,,,0.568,0.328
GU_0_CELL_2_22,GU_0,GU_0,overburden,overburden,0,-24,-24.567,-184,-24.567,15.071,1,0,0.101,0.338,,,,,,,,,,,0.283,,,,,,,,0.578,0.316
GU_0_CELL_2_23,GU_0,GU_0,overburden,overburden,0,-16,-24.385,-184,-24.385,15.204,1,0,0.11,0.338,,,,,,,,,,,0.279,,,,,,,,0.593,0.308
GU_0_CELL_2_24,GU_0,GU_0,overburden,overburden,0,-8,-24.244,-184,-24.244,15.293,1,0,0.12,0.341,,,,,,,,,,,0.275,,,,,,,,0.612,0.302
GU_0_CELL_2_25,GU_0,GU_0,overburden,overburden,0,0,-24.145,-184,-24.145,15.339,1,0,0.13,0.346,,,,,,,,,,,0.271,,,,,,,,0.633,0.3
GU_0_CELL_2_26,GU_0,GU_0,overburden,overburden,0,8,-24.084,-184,-24.084,15.344,1,0,0.139,0.353,,,,,,,,,,,0.266,,,,,,,,0.654,0.301
GU_0_CELL_2_27,GU_0,GU_0,overburden,overburden,0,16,-24.058,-184,-24.058,15.312,1,0,0.147,0.362,,,,,,,,,,,0.261,,,,,,,,0.675,0.306
GU_0_CELL_2_28,GU_0,GU_0,overburden,overburden,0,24,-24.062,-184,-24.062,15.25,1,0,0.154,0.372,,,,,,,,,,,0.257,,,,,,,,0.694,0.314
GU_0_CELL_2_29,GU_0,GU_0,overburden,overburden,0,32,-24.09,-184,-24.09,15.165,1,0,0.158,0.382,,,,,,,,,,,0.254,,,,,,,,0.711,0.324
GU_0_CELL_2_30,GU_0,GU_0,overburden,overburden,0,40,-24.135,-184,-24.135,15.066,1,0,0.16,0.393,,,,,,,,,,,0.251,,,,,,,,0.725,0.338
GU_0_CELL_2_31,GU_0,GU_0,overburden,overburden,0,48,-24.188,-184,-24.188,14.959,1,0,0.159,0.404,,,,,,,,,,,0.248,,,,,,,,0.734,0.354
GU_0_CELL_2_32,GU_0,GU_0,overburden,overburden,0,56,-24.242,-184,-24.242,14.855,1,0,0.157,0.416,,,,,,,,,,,0.247,,,,,,,,0.74,0.373
GU_0_CELL_2_33,GU_0,GU_0,overburden,overburden,0,64,-24.287,-184,-24.287,14.759,1,0,0.151,0.428,,,,,,,,,,,0.247,,,,,,,,0.742,0.394
GU_0_CELL_2_34,GU_0,GU_0,overburden,overburden,0,72,-24.315,-184,-24.315,14.679,1,0,0.144,0.439,,,,,,,,,,,0.247,,,,,,,,0.741,0.416
GU_0_CELL_2_35,GU_0,GU_0,overburden,overburden,0,80,-24.317,-184,-24.317,14.618,1,0,0.136,0.449,,,,,,,,,,,0.248,,,,,,,,0.737,0.439
GU_0_CELL_2_36,GU_0,GU_0,overburden,overburden,0,88,-24.287,-184,-24.287,14.579,1,0,0.126,0.46,,,,,,,,,,,0.249,,,,,,,,0.731,0.463
GU_0_CELL_2_37,GU_0,GU_0,overburden,overburden,0,96,-24.216,-184,-24.216,14.564,1,0,0.117,0.471,,,,,,,,,,,0.25,,,,,,,,0.725,0.487
GU_0_CELL_2_38,GU_0,GU_0,overburden,overburden,0,104,-24.1,-184,-24.1,14.572,1,0,0.107,0.481,,,,,,,,,,,0.252,,,,,,,,0.719,0.511
GU_0_CELL_2_39,GU_0,GU_0,overburden,overburden,0,112,-23.935,-184,-23.935,14.599,1,0,0.098,0.492,,,,,,,,,,,0.253,,,,,,,,0.714,0.534
GU_0_CELL_2_40,GU_0,GU_0,overburden,overburden,0,120,-23.72,-184,-23.72,14.641,1,0,0.09,0.503,,,,,,,,,,,0.253,,,,,,,,0.712,0.556
GU_0_CELL_2_41,GU_0,GU_0,overburden,overburden,0,128,-23.454,-184,-23.454,14.695,1,0,0.085,0.514,,,,,,,,,,,0.253,,,,,,,,0.713,0.577
GU_0_CELL_2_42,GU_0,GU_0,overburden,overburden,0,136,-23.14,-184,-23.14,14.754,1,0,0.081,0.525,,,,,,,,,,,0.252,,,,,,,,0.717,0.596
