interval_id,borehole_id,depth_from,depth_to,lithology,grade,attribute_name,attribute_value,sample_id
ZK06_INT_006,ZK06,40,44,silt,,lithology,silt,ZK06_INT_006
ZK06_INT_007,ZK06,44,52,sand_f,,lithology,sand_f,ZK06_INT_007
ZK06_INT_008,ZK06,52,74,sand_c,,lithology,sand_c,ZK06_INT_008
ZK06_INT_009,ZK06,74,76,lime,,lithology,lime,ZK06_INT_009
ZK06_INT_010,ZK06,76,80,mud,,lithology,mud,ZK06_INT_010
ZK06_INT_011,ZK06,80,82,coal,,lithology,coal,ZK06_INT_011
ZK06_INT_012,ZK06,82,84,coal,,lithology,coal,ZK06_INT_012
ZK06_INT_013,ZK06,84,86,mud,,lithology,mud,ZK06_INT_013
ZK06_INT_014,ZK06,86,94,mud,,lithology,mud,ZK06_INT_014
ZK06_INT_015,ZK06,94,96,silt,,lithology,silt,ZK06_INT_015
ZK06_INT_016,ZK06,96,98,sand_f,,lithology,sand_f,ZK06_INT_016
ZK06_INT_017,ZK06,98,100,sand_c,,lithology,sand_c,ZK06_INT_017
ZK06_INT_018,ZK06,100,108,mud,,lithology,mud,ZK06_INT_018
ZK06_INT_019,ZK06,108,110,coal,,lithology,coal,ZK06_INT_019
ZK06_INT_020,ZK06,110,112,mud,,lithology,mud,ZK06_INT_020
ZK06_INT_021,ZK06,112,124,mud,,lithology,mud,ZK06_INT_021
ZK06_INT_022,ZK06,124,130,silt,,lithology,silt,ZK06_INT_022
ZK06_INT_023,ZK06,130,136,sand_f,,lithology,sand_f,ZK06_INT_023
ZK06_INT_024,ZK06,136,150,sand_c,,lithology,sand_c,ZK06_INT_024
ZK07_INT_001,ZK07,4,18,overburden,,lithology,overburden,ZK07_INT_001
ZK07_INT_002,ZK07,18,24,mud,,lithology,mud,ZK07_INT_002
ZK07_INT_003,ZK07,24,30,coal,,lithology,coal,ZK07_INT_003
ZK07_INT_004,ZK07,30,32,mud,,lithology,mud,ZK07_INT_004
ZK07_INT_005,ZK07,32,42,mud,,lithology,mud,ZK07_INT_005
ZK07_INT_006,ZK07,42,46,silt,,lithology,silt,ZK07_INT_006
ZK07_INT_007,ZK07,46,54,sand_f,,lithology,sand_f,ZK07_INT_007
ZK07_INT_008,ZK07,54,76,sand_c,,lithology,sand_c,ZK07_INT_008
ZK07_INT_009,ZK07,76,82,mud,,lithology,mud,ZK07_INT_009
ZK07_INT_010,ZK07,82,84,coal,,lithology,coal,ZK07_INT_010
ZK07_INT_011,ZK07,84,86,coal,,lithology,coal,ZK07_INT_011
ZK07_INT_012,ZK07,86,88,mud,,lithology,mud,ZK07_INT_012
ZK07_INT_013,ZK07,88,98,mud,,lithology,mud,ZK07_INT_013
ZK07_INT_014,ZK07,98,102,silt,,lithology,silt,ZK07_INT_014
ZK07_INT_015,ZK07,102,108,sand_f,,lithology,sand_f,ZK07_INT_015
ZK07_INT_016,ZK07,108,124,sand_c,,lithology,sand_c,ZK07_INT_016
ZK07_INT_017,ZK07,124,130,mud,,lithology,mud,ZK07_INT_017
ZK07_INT_018,ZK07,130,134,coal,,lithology,coal,ZK07_INT_018
ZK07_INT_019,ZK07,134,136,mud,,lithology,mud,ZK07_INT_019
ZK07_INT_020,ZK07,136,146,mud,,lithology,mud,ZK07_INT_020
ZK07_INT_021,ZK07,146,152,silt,,lithology,silt,ZK07_INT_021
ZK07_INT_022,ZK07,152,156,sand_f,,lithology,sand_f,ZK07_INT_022
ZK07_INT_023,ZK07,156,172,sand_c,,lithology,sand_c,ZK07_INT_023
ZK08_INT_001,ZK08,4,18,overburden,,lithology,overburden,ZK08_INT_001
ZK08_INT_002,ZK08,18,24,mud,,lithology,mud,ZK08_INT_002
ZK08_INT_003,ZK08,24,28,coal,,lithology,coal,ZK08_INT_003
ZK08_INT_004,ZK08,28,30,mud,,lithology,mud,ZK08_INT_004
ZK08_INT_005,ZK08,30,38,mud,,lithology,mud,ZK08_INT_005
ZK08_INT_006,ZK08,38,44,silt,,lithology,silt,ZK08_INT_006
ZK08_INT_007,ZK08,44,50,sand_f,,lithology,sand_f,ZK08_INT_007
ZK08_INT_008,ZK08,50,72,sand_c,,lithology,sand_c,ZK08_INT_008
ZK08_INT_009,ZK08,72,74,lime,,lithology,lime,ZK08_INT_009
ZK08_INT_010,ZK08,74,76,mud,,lithology,mud,ZK08_INT_010
ZK08_INT_011,ZK08,76,78,coal,,lithology,coal,ZK08_INT_011
ZK08_INT_012,ZK08,78,80,coal,,lithology,coal,ZK08_INT_012
ZK08_INT_013,ZK08,80,84,mud,,lithology,mud,ZK08_INT_013
ZK08_INT_014,ZK08,84,90,mud,,lithology,mud,ZK08_INT_014
ZK08_INT_015,ZK08,90,96,silt,,lithology,silt,ZK08_INT_015
ZK08_INT_016,ZK08,96,100,sand_f,,lithology,sand_f,ZK08_INT_016
ZK08_INT_017,ZK08,100,118,sand_c,,lithology,sand_c,ZK08_INT_017
ZK08_INT_018,ZK08,118,126,mud,,lithology,mud,ZK08_INT_018
ZK08_INT_019,ZK08,126,132,coal,,lithology,coal,ZK08_INT_019
ZK08_INT_020,ZK08,132,136,mud,,lithology,mud,ZK08_INT_020
ZK08_INT_021,ZK08,136,148,mud,,lithology,mud,ZK08_INT_021
ZK08_INT_022,ZK08,148,150,silt,,lithology,silt,ZK08_INT_022
ZK08_INT_023,ZK08,150,152,sand_f,,lithology,sand_f,ZK08_INT_023
ZK08_INT_024,ZK08,152,154,sand_c,,lithology,sand_c,ZK08_INT_024
ZK08_FAULT_001,ZK08,60,60,fault_zone,,faultIntersection,normal,ZK08_FAULT_001
ZK09_INT_001,ZK09,4,18,overburden,,lithology,overburden,ZK09_INT_001
ZK09_INT_002,ZK09,18,24,mud,,lithology,mud,ZK09_INT_002
ZK09_INT_003,ZK09,24,30,coal,,lithology,coal,ZK09_INT_003
ZK09_INT_004,ZK09,30,32,mud,,lithology,mud,ZK09_INT_004
ZK09_INT_005,ZK09,32,42,mud,,lithology,mud,ZK09_INT_005
ZK09_INT_006,ZK09,42,46,silt,,lithology,silt,ZK09_INT_006
ZK09_INT_007,ZK09,46,54,sand_f,,lithology,sand_f,ZK09_INT_007
ZK09_INT_008,ZK09,54,76,sand_c,,lithology,sand_c,ZK09_INT_008
ZK09_INT_009,ZK09,76,82,mud,,lithology,mud,ZK09_INT_009
ZK09_INT_010,ZK09,82,84,coal,,lithology,coal,ZK09_INT_010
ZK09_INT_011,ZK09,84,86,coal,,lithology,coal,ZK09_INT_011
ZK09_INT_012,ZK09,86,90,mud,,lithology,mud,ZK09_INT_012
ZK09_INT_013,ZK09,90,98,mud,,lithology,mud,ZK09_INT_013
ZK09_INT_014,ZK09,98,102,silt,,lithology,silt,ZK09_INT_014
ZK09_INT_015,ZK09,102,106,sand_f,,lithology,sand_f,ZK09_INT_015
ZK09_INT_016,ZK09,106,120,sand_c,,lithology,sand_c,ZK09_INT_016
ZK09_INT_017,ZK09,120,126,mud,,lithology,mud,ZK09_INT_017
ZK09_INT_018,ZK09,126,128,coal,,lithology,coal,ZK09_INT_018
ZK09_INT_019,ZK09,128,130,mud,,lithology,mud,ZK09_INT_019
ZK09_INT_020,ZK09,130,140,mud,,lithology,mud,ZK09_INT_020
ZK09_INT_021,ZK09,140,144,silt,,lithology,silt,ZK09_INT_021
ZK09_INT_022,ZK09,144,150,sand_f,,lithology,sand_f,ZK09_INT_022
ZK09_INT_023,ZK09,150,160,sand_c,,lithology,sand_c,ZK09_INT_023
ZK10_INT_001,ZK10,4,18,overburden,,lithology,overburden,ZK10_INT_001
ZK10_INT_002,ZK10,18,24,mud,,lithology,mud,ZK10_INT_002
ZK10_INT_003,ZK10,24,28,coal,,lithology,coal,ZK10_INT_003
ZK10_INT_004,ZK10,28,32,mud,,lithology,mud,ZK10_INT_004
ZK10_INT_005,ZK10,32,40,mud,,lithology,mud,ZK10_INT_005
ZK10_INT_006,ZK10,40,44,silt,,lithology,silt,ZK10_INT_006
ZK10_INT_007,ZK10,44,50,sand_f,,lithology,sand_f,ZK10_INT_007
ZK10_INT_008,ZK10,50,66,sand_c,,lithology,sand_c,ZK10_INT_008
ZK10_INT_009,ZK10,66,68,lime,,lithology,lime,ZK10_INT_009
ZK10_INT_010,ZK10,68,72,mud,,lithology,mud,ZK10_INT_010
ZK10_INT_011,ZK10,72,74,coal,,lithology,coal,ZK10_INT_011
ZK10_INT_012,ZK10,74,78,coal,,lithology,coal,ZK10_INT_012
ZK10_INT_013,ZK10,78,80,mud,,lithology,mud,ZK10_INT_013
ZK10_INT_014,ZK10,80,88,mud,,lithology,mud,ZK10_INT_014
ZK10_INT_015,ZK10,88,90,silt,,lithology,silt,ZK10_INT_015
ZK10_INT_016,ZK10,90,92,sand_f,,lithology,sand_f,ZK10_INT_016
ZK10_INT_017,ZK10,92,96,sand_c,,lithology,sand_c,ZK10_INT_017
ZK10_INT_018,ZK10,96,104,mud,,lithology,mud,ZK10_INT_018
ZK10_INT_019,ZK10,104,106,coal,,lithology,coal,ZK10_INT_019
ZK10_INT_020,ZK10,106,108,mud,,lithology,mud,ZK10_INT_020
ZK10_INT_021,ZK10,108,120,mud,,lithology,mud,ZK10_INT_021
ZK10_INT_022,ZK10,120,122,silt,,lithology,silt,ZK10_INT_022
ZK10_INT_023,ZK10,122,124,sand_f,,lithology,sand_f,ZK10_INT_023
ZK10_INT_024,ZK10,124,126,sand_c,,lithology,sand_c,ZK10_INT_024
ZK11_INT_001,ZK11,4,18,overburden,,lithology,overburden,ZK11_INT_001
ZK11_INT_002,ZK11,18,24,mud,,lithology,mud,ZK11_INT_002
ZK11_INT_003,ZK11,24,28,coal,,lithology,coal,ZK11_INT_003
ZK11_INT_004,ZK11,28,32,mud,,lithology,mud,ZK11_INT_004
ZK11_INT_005,ZK11,32,42,mud,,lithology,mud,ZK11_INT_005
ZK11_INT_006,ZK11,42,46,silt,,lithology,silt,ZK11_INT_006
ZK11_INT_007,ZK11,46,54,sand_f,,lithology,sand_f,ZK11_INT_007
ZK11_INT_008,ZK11,54,76,sand_c,,lithology,sand_c,ZK11_INT_008
ZK11_INT_009,ZK11,76,82,mud,,lithology,mud,ZK11_INT_009
ZK11_INT_010,ZK11,82,84,coal,,lithology,coal,ZK11_INT_010
ZK11_INT_011,ZK11,84,86,coal,,lithology,coal,ZK11_INT_011
ZK11_INT_012,ZK11,86,88,mud,,lithology,mud,ZK11_INT_012
ZK11_INT_013,ZK11,88,96,mud,,lithology,mud,ZK11_INT_013
ZK11_INT_014,ZK11,96,102,silt,,lithology,silt,ZK11_INT_014
ZK11_INT_015,ZK11,102,108,sand_f,,lithology,sand_f,ZK11_INT_015
ZK11_INT_016,ZK11,108,124,sand_c,,lithology,sand_c,ZK11_INT_016
ZK11_INT_017,ZK11,124,130,mud,,lithology,mud,ZK11_INT_017
ZK11_INT_018,ZK11,130,136,coal,,lithology,coal,ZK11_INT_018
ZK11_INT_019,ZK11,136,140,mud,,lithology,mud,ZK11_INT_019
ZK11_INT_020,ZK11,140,150,mud,,lithology,mud,ZK11_INT_020
ZK11_INT_021,ZK11,150,156,silt,,lithology,silt,ZK11_INT_021
ZK11_INT_022,ZK11,156,162,sand_f,,lithology,sand_f,ZK11_INT_022
ZK11_INT_023,ZK11,162,184,sand_c,,lithology,sand_c,ZK11_INT_023
ZK12_INT_001,ZK12,4,18,overburden,,lithology,overburden,ZK12_INT_001
ZK12_INT_002,ZK12,18,26,mud,,lithology,mud,ZK12_INT_002
ZK12_INT_003,ZK12,26,30,coal,,lithology,coal,ZK12_INT_003
ZK12_INT_004,ZK12,30,32,mud,,lithology,mud,ZK12_INT_004
ZK12_INT_005,ZK12,32,42,mud,,lithology,mud,ZK12_INT_005
ZK12_INT_006,ZK12,42,48,silt,,lithology,silt,ZK12_INT_006
ZK12_INT_007,ZK12,48,54,sand_f,,lithology,sand_f,ZK12_INT_007
ZK12_INT_008,ZK12,54,76,sand_c,,lithology,sand_c,ZK12_INT_008
ZK12_INT_009,ZK12,76,78,lime,,lithology,lime,ZK12_INT_009
ZK12_INT_010,ZK12,78,84,mud,,lithology,mud,ZK12_INT_010
ZK12_INT_011,ZK12,84,86,coal,,lithology,coal,ZK12_INT_011
ZK12_INT_012,ZK12,86,88,coal,,lithology,coal,ZK12_INT_012
ZK12_INT_013,ZK12,88,90,mud,,lithology,mud,ZK12_INT_013
ZK12_INT_014,ZK12,90,98,mud,,lithology,mud,ZK12_INT_014
ZK12_INT_015,ZK12,98,102,silt,,lithology,silt,ZK12_INT_015
ZK12_INT_016,ZK12,102,108,sand_f,,lithology,sand_f,ZK12_INT_016
ZK12_INT_017,ZK12,108,124,sand_c,,lithology,sand_c,ZK12_INT_017
ZK12_INT_018,ZK12,124,132,mud,,lithology,mud,ZK12_INT_018
ZK12_INT_019,ZK12,132,138,coal,,lithology,coal,ZK12_INT_019
ZK12_INT_020,ZK12,138,140,mud,,lithology,mud,ZK12_INT_020
ZK12_INT_021,ZK12,140,152,mud,,lithology,mud,ZK12_INT_021
ZK12_INT_022,ZK12,152,156,silt,,lithology,silt,ZK12_INT_022
ZK12_INT_023,ZK12,156,160,sand_f,,lithology,sand_f,ZK12_INT_023
ZK12_INT_024,ZK12,160,168,sand_c,,lithology,sand_c,ZK12_INT_024
ZK13_INT_001,ZK13,4,16,overburden,,lithology,overburden,ZK13_INT_001
ZK13_INT_002,ZK13,16,22,mud,,lithology,mud,ZK13_INT_002
ZK13_INT_003,ZK13,22,26,coal,,lithology,coal,ZK13_INT_003
ZK13_INT_004,ZK13,26,28,mud,,lithology,mud,ZK13_INT_004
ZK13_INT_005,ZK13,28,38,mud,,lithology,mud,ZK13_INT_005
ZK13_INT_006,ZK13,38,44,silt,,lithology,silt,ZK13_INT_006
ZK13_INT_007,ZK13,44,50,sand_f,,lithology,sand_f,ZK13_INT_007
ZK13_INT_008,ZK13,50,72,sand_c,,lithology,sand_c,ZK13_INT_008
ZK13_INT_009,ZK13,72,78,mud,,lithology,mud,ZK13_INT_009
ZK13_INT_010,ZK13,78,80,coal,,lithology,coal,ZK13_INT_010
ZK13_INT_011,ZK13,80,82,coal,,lithology,coal,ZK13_INT_011
ZK13_INT_012,ZK13,82,84,mud,,lithology,mud,ZK13_INT_012
ZK13_INT_013,ZK13,84,92,mud,,lithology,mud,ZK13_INT_013
ZK13_INT_014,ZK13,92,94,silt,,lithology,silt,ZK13_INT_014
ZK13_INT_015,ZK13,94,96,sand_f,,lithology,sand_f,ZK13_INT_015
ZK13_INT_016,ZK13,96,98,sand_c,,lithology,sand_c,ZK13_INT_016
ZK13_INT_017,ZK13,98,106,mud,,lithology,mud,ZK13_INT_017
ZK13_INT_018,ZK13,106,108,coal,,lithology,coal,ZK13_INT_018
ZK13_INT_019,ZK13,108,110,mud,,lithology,mud,ZK13_INT_019
ZK13_INT_020,ZK13,110,122,mud,,lithology,mud,ZK13_INT_020
ZK13_INT_021,ZK13,122,126,silt,,lithology,silt,ZK13_INT_021
ZK13_INT_022,ZK13,126,128,sand_f,,lithology,sand_f,ZK13_INT_022
ZK13_INT_023,ZK13,128,130,sand_c,,lithology,sand_c,ZK13_INT_023
ZK13_FAULT_001,ZK13,2,2,fault_zone,,faultIntersection,normal,ZK13_FAULT_001
ZK14_INT_001,ZK14,2,18,overburden,,lithology,overburden,ZK14_INT_001
ZK14_INT_002,ZK14,18,24,mud,,lithology,mud,ZK14_INT_002
ZK14_INT_003,ZK14,24,30,coal,,lithology,coal,ZK14_INT_003
ZK14_INT_004,ZK14,30,32,mud,,lithology,mud,ZK14_INT_004
ZK14_INT_005,ZK14,32,42,mud,,lithology,mud,ZK14_INT_005
ZK14_INT_006,ZK14,42,48,silt,,lithology,silt,ZK14_INT_006
ZK14_INT_007,ZK14,48,54,sand_f,,lithology,sand_f,ZK14_INT_007
ZK14_INT_008,ZK14,54,74,sand_c,,lithology,sand_c,ZK14_INT_008
ZK14_INT_009,ZK14,74,76,lime,,lithology,lime,ZK14_INT_009
ZK14_INT_010,ZK14,76,82,mud,,lithology,mud,ZK14_INT_010
ZK14_INT_011,ZK14,82,84,coal,,lithology,coal,ZK14_INT_011
ZK14_INT_012,ZK14,84,86,coal,,lithology,coal,ZK14_INT_012
ZK14_INT_013,ZK14,86,88,mud,,lithology,mud,ZK14_INT_013
ZK14_INT_014,ZK14,88,96,mud,,lithology,mud,ZK14_INT_014
ZK14_INT_015,ZK14,96,100,silt,,lithology,silt,ZK14_INT_015
ZK14_INT_016,ZK14,100,106,sand_f,,lithology,sand_f,ZK14_INT_016
ZK14_INT_017,ZK14,106,122,sand_c,,lithology,sand_c,ZK14_INT_017
ZK14_INT_018,ZK14,122,130,mud,,lithology,mud,ZK14_INT_018
ZK14_INT_019,ZK14,130,136,coal,,lithology,coal,ZK14_INT_019
ZK14_INT_020,ZK14,136,140,mud,,lithology,mud,ZK14_INT_020
ZK14_INT_021,ZK14,140,150,mud,,lithology,mud,ZK14_INT_021
ZK14_INT_022,ZK14,150,154,silt,,lithology,silt,ZK14_INT_022
ZK14_INT_023,ZK14,154,156,sand_f,,lithology,sand_f,ZK14_INT_023
ZK14_INT_024,ZK14,156,158,sand_c,,lithology,sand_c,ZK14_INT_024
ZK15_INT_001,ZK15,2,16,overburden,,lithology,overburden,ZK15_INT_001
ZK15_INT_002,ZK15,16,22,mud,,lithology,mud,ZK15_INT_002
ZK15_INT_003,ZK15,22,28,coal,,lithology,coal,ZK15_INT_003
ZK15_INT_004,ZK15,28,30,mud,,lithology,mud,ZK15_INT_004
ZK15_INT_005,ZK15,30,40,mud,,lithology,mud,ZK15_INT_005
ZK15_INT_006,ZK15,40,44,silt,,lithology,silt,ZK15_INT_006
